player_id,player_name,position,season,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,dom
00-0034383,Dalton Schultz,TE,2023,0,0,0.0,0,0.0,0,0.0,0,59,88,635.0,5,91.5,150.5,0.16417910447761194,0.14511930585683297,0.3623641014018843,0.17191142191142192
00-0034383,Dalton Schultz,TE,2024,0,0,0.0,0,0.0,0,0.0,0,53,85,532.0,2,65.2,118.2,0.14912280701754385,0.1470019342359768,0.3412857579150972,0.11730769230769231
00-0034386,Justin Watson,WR,2022,0,0,0.0,0,0.0,0,0.0,0,15,34,315.0,2,43.5,58.5,0.05222734254992319,0.1351867572156197,0.18649041959738055,0.054390243902439024
00-0034386,Justin Watson,WR,2023,0,0,0.0,0,0.0,0,0.0,0,27,53,460.0,3,62.0,89.0,0.09464285714285714,0.26774379688401617,0.3561593232214987,0.12656708455588156
00-0034386,Justin Watson,WR,2024,0,0,0.0,0,0.0,0,0.0,0,22,32,289.0,2,40.9,62.9,0.061068702290076333,0.14361702127659576,0.2064966704563911,0.08122681883024252
00-0034400,Jordan Wilkins,RB,2022,0,0,0.0,0,0.0,13,58.0,0,6,8,29.0,0,8.700000000000001,14.700000000000001,0.07079646017699115,-0.022756005056890013,0.08798988621997471,0.023770491803278688
00-0034401,Mike White,QB,2022,103,175,1192.0,3,4.0,6,9.0,1,0,0,0.0,0,56.58,56.58,0.0,0.0,0.0,0.0
00-0034401,Mike White,QB,2023,5,6,74.0,1,1.0,8,-9.0,0,0,0,0.0,0,2.06,2.06,0.0,0.0,0.0,0.0
00-0034401,Mike White,QB,2024,3,11,28.0,0,0.0,0,0.0,0,0,0,0.0,0,1.12,1.12,0.0,0.0,0.0,0.0
00-0034407,Ray-Ray McCloud,WR,2022,0,0,0.0,0,0.0,4,78.0,1,14,25,243.0,1,44.1,58.1,0.05938242280285035,0.10161901481226318,0.1703688460540861,0.057986147141226525
00-0034407,Ray-Ray McCloud,WR,2023,0,0,0.0,0,0.0,3,30.0,0,12,15,135.0,0,16.5,28.5,0.07853403141361257,0.055852644087938205,0.16248316239076943,0.039799528301886794
00-0034407,Ray-Ray McCloud,WR,2024,0,0,0.0,0,0.0,10,79.0,0,62,87,686.0,1,80.5,142.5,0.1556350626118068,0.13188535602328705,0.33896087873633984,0.1038935770432385
00-0034411,Russell Gage,WR,2022,0,0,0.0,0,0.0,0,0.0,0,51,70,426.0,5,72.60000000000001,123.60000000000001,0.12152777777777778,0.0970111448834853,0.25990058257345494,0.1835647511685455
00-0034414,Boston Scott,RB,2022,0,0,0.0,0,0.0,54,217.0,3,5,6,15.0,0,41.2,46.2,0.01507537688442211,-0.003027550711474417,0.020191024757453633,0.002306982466933251
00-0034414,Boston Scott,RB,2023,0,0,0.0,0,0.0,20,86.0,0,4,6,52.0,0,13.8,17.8,0.017543859649122806,0.01103202846975089,0.03514141224948492,0.011040339702760084
00-0034418,Cedrick Wilson,WR,2022,0,0,0.0,0,0.0,1,8.0,0,12,18,136.0,0,14.400000000000002,26.400000000000002,0.05714285714285714,0.0669500531349628,0.13927432822225597,0.02640776699029126
00-0034418,Ced Wilson,WR,2023,0,0,0.0,0,0.0,0,0.0,0,22,38,296.0,3,47.6,69.6,0.10106382978723404,0.15754682335659198,0.2776332033661246,0.15250088683930474
00-0034418,Cedrick Wilson Jr.,WR,2024,1,1,21.0,1,0.0,0,0.0,0,20,27,211.0,1,31.94,51.94,0.07848837209302326,0.0703770197486535,0.1740341739384577,0.10146341463414635
00-0034419,Braxton Berrios,WR,2022,1,1,2.0,1,0.0,9,91.0,2,18,32,145.0,0,39.68,57.68,0.0570409982174688,0.04758786291202794,0.12363178765582555,0.019547047721757888
00-0034419,Braxton Berrios,WR,2023,0,0,0.0,0,0.0,1,11.0,0,27,33,238.0,1,30.900000000000002,57.9,0.0765661252900232,0.07258320126782884,0.17291574894929787,0.05385220125786164
00-0034419,Braxton Berrios,WR,2024,0,0,0.0,0,0.0,0,0.0,0,0,4,0.0,0,0.0,0.0,0.037037037037037035,0.034993270524899055,0.08355017197547479,0.0
00-0034433,Nick Bawden,RB,2023,0,0,0.0,0,0.0,2,4.0,1,3,3,21.0,0,8.5,11.5,0.014705882352941176,-0.0008503401360544217,0.021378551420568225,0.00904392764857881
00-0034437,Logan Cooke,P,2023,1,1,13.0,0,0.0,0,0.0,0,0,0,0.0,0,0.52,0.52,0.0,0.0,0.0,0.0
00-0034438,Logan Woodside,QB,2023,3,4,27.0,0,1.0,1,6.0,0,0,0,0.0,0,-0.31999999999999984,-0.31999999999999984,0.0,0.0,0.0,0.0
00-0034440,Justin Jackson,RB,2022,0,0,0.0,0,0.0,42,170.0,1,12,19,101.0,1,39.1,51.1,0.046341463414634146,0.006949524506217996,0.07507181472692562,0.04396367521367521
00-0034485,Jonathan Owens,DB,2024,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,6.0,6.0,0.0,0.0,0.0,
00-0034487,Trent Sherfield,WR,2022,0,0,0.0,0,0.0,0,0.0,0,30,51,417.0,2,53.7,83.7,0.0922242314647378,0.10974178403755869,0.22612977442715365,0.07853168581544909
00-0034487,Trent Sherfield,WR,2023,0,0,0.0,0,0.0,0,0.0,0,11,22,86.0,1,14.600000000000001,25.6,0.06528189910979229,0.06010756089844986,0.14600889738344833,0.0503968253968254
00-0034487,Trent Sherfield,WR,2024,0,0,0.0,0,0.0,0,0.0,0,8,9,83.0,1,14.3,22.3,0.03571428571428571,0.025328330206378986,0.07383409273653176,0.05022420201781816
00-0034488,Tavierre Thomas,DB,2024,0,0,0.0,0,0.0,1,-2.0,0,0,0,0.0,0,-0.2,-0.2,0.0,0.0,0.0,0.0
00-0034490,Ezekiel Turner,LB,2023,0,0,0.0,0,0.0,1,2.0,0,0,0,0.0,0,0.2,0.2,0.0,0.0,0.0,0.0
00-0034496,Sean Chandler,DB,2022,0,0,0.0,0,0.0,1,2.0,0,0,0,0.0,0,0.2,0.2,0.0,0.0,0.0,0.0
00-0034521,Allen Lazard,WR,2022,0,0,0.0,0,0.0,2,0.0,0,60,100,788.0,6,114.80000000000001,174.8,0.20242914979757085,0.3104648272433507,0.5520155864910369,0.23496936095710536
00-0034521,Allen Lazard,WR,2023,0,0,0.0,0,0.0,0,0.0,0,23,49,311.0,1,37.1,60.1,0.10606060606060606,0.18307267709291627,0.3055490507652421,0.13212334113973456
00-0034521,Allen Lazard,WR,2024,0,1,0.0,0,0.0,0,0.0,0,37,61,530.0,6,89.0,126.0,0.1373873873873874,0.22783128528727997,0.3883461093109051,0.22319194566900988
00-0034571,Trent Scott,OL,2024,0,0,0.0,0,0.0,0,0.0,0,1,1,1.0,1,6.1,7.1,0.043478260869565216,0.004651162790697674,0.06893832153690596,0.25196850393700787
00-0034575,David Wells,TE,2023,0,0,0.0,0,0.0,0,0.0,0,2,2,-10.0,0,-1.0,1.0,0.058823529411764705,0.0,0.08823529411764705,-0.015772870662460567
00-0034577,Kyle Allen,QB,2022,46,78,416.0,2,4.0,6,13.0,0,0,0,0.0,0,15.940000000000001,15.940000000000001,0.0,0.0,0.0,0.0
00-0034577,Kyle Allen,QB,2023,0,0,0.0,0,0.0,13,-13.0,0,0,0,0.0,0,-1.3,-1.3,0.0,0.0,0.0,0.0
00-0034577,Kyle Allen,QB,2024,1,1,19.0,0,0.0,0,0.0,0,0,0,0.0,0,0.76,0.76,0.0,0.0,0.0,0.0
00-0034578,Reggie Bonnafon,RB,2022,0,0,0.0,0,0.0,3,8.0,0,0,0,0.0,0,0.8,0.8,0.0,0.0,0.0,0.0
00-0034613,Tanner Hudson,TE,2022,0,0,0.0,0,0.0,0,0.0,0,10,15,132.0,0,13.200000000000001,23.200000000000003,0.09202453987730061,0.09674582233948989,0.21543346768754282,0.06220546654099906
00-0034613,Tanner Hudson,TE,2023,0,0,0.0,0,0.0,0,0.0,0,39,50,352.0,1,41.2,80.2,0.11655011655011654,0.09824689554419284,0.2534226912605291,0.08496732026143791
00-0034613,Tanner Hudson,TE,2024,0,0,0.0,0,0.0,1,1.0,0,19,23,154.0,1,19.5,38.5,0.06318681318681318,0.03811746402178141,0.12527419099764492,0.0503805321053978
