,player_name,position,season,fantasy_points_ppr,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,tgt_sh,ay_sh,wopr_y,dom
1690,Trey Palmer,WR,2024,35.2,0.0,0,0.0,0.0,0,12,22,172.0,1,0.0591397849462365,0.1276337115072933,0.1908166466251895,0.0587441454314519
1691,Jonathan Mingo,WR,2023,84.8,0.0,0,0.0,0.0,0,43,85,418.0,0,0.1585820895522388,0.216247945527119,0.4108714907500534,0.0709195792331184
1692,Jonathan Mingo,WR,2024,32.2,0.0,0,0.0,5.0,0,17,42,167.0,0,0.0857142857142857,0.128440366972477,0.2313237221494102,0.0281239474570562
1693,Zay Flowers,WR,2023,206.4,0.0,0,0.0,56.0,1,77,108,858.0,5,0.2317596566523605,0.2350089308497065,0.535646629658306,0.2110132839048502
1694,Zay Flowers,WR,2024,209.5,0.0,0,0.0,56.0,0,74,116,1059.0,4,0.2431865828092243,0.2900048053820279,0.5967837185194588,0.1751829704976448
1695,Sam LaPorta,TE,2023,239.3,0.0,0,0.0,4.0,0,86,120,889.0,10,0.198019801980198,0.2082721488007831,0.4636474220109235,0.2631712259371834
1696,Sam LaPorta,TE,2024,174.6,0.0,0,0.0,0.0,0,60,83,726.0,7,0.1602316602316602,0.1788467468393463,0.3834248878189674,0.1850316233309908
1697,Michael Mayer,TE,2023,71.4,0.0,0,0.0,0.0,0,27,40,304.0,2,0.1020408163265306,0.0751655629139072,0.2131936748209217,0.1293774848864441
1698,Michael Mayer,TE,2024,36.6,0.0,0,0.0,0.0,0,21,32,156.0,0,0.0749414519906323,0.0657104736490994,0.164980556905228,0.0267489711934156
1699,Rashee Rice,WR,2023,212.5,0.0,0,0.0,-3.0,0,79,102,938.0,7,0.168595041322314,0.125,0.3528925619834711,0.2359009222038307
1700,Rashee Rice,WR,2024,64.9,0.0,0,0.0,1.0,0,24,29,288.0,2,0.3152173913043478,0.3178947368421053,0.727141876430206,0.4185128983308043
1701,Davis Allen,TE,2023,25.5,0.0,0,0.0,0.0,0,10,11,95.0,1,0.0839694656488549,0.026431718061674,0.1470995729226216,0.0957723420647149
1702,Davis Allen,TE,2024,9.9,0.0,0,0.0,0.0,0,6,13,39.0,0,0.0515873015873015,0.027367268746579,0.0992747673782156,0.0121875
1703,Puka Nacua,WR,2023,298.5,0.0,0,0.0,89.0,0,105,160,1486.0,6,0.274442538593482,0.3223873973818504,0.6695737257957034,0.288175313059034
1704,Puka Nacua,WR,2024,206.6,0.0,0,0.0,46.0,1,79,106,990.0,3,0.2880434782608695,0.3066520467836257,0.6773868548182049,0.2675536533928793
1705,Zach Evans,RB,2023,1.9,0.0,0,0.0,19.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1706,Jahmyr Gibbs,RB,2023,242.1,0.0,0,0.0,945.0,10,52,71,316.0,1,0.1329588014981273,0.0021875854525567,0.2011882706092363,0.0593328354493403
1707,Jahmyr Gibbs,RB,2024,354.9,0.0,0,0.0,1412.0,16,52,63,497.0,3,0.1143375680580762,-0.0031545741324921,0.1689826927811206,0.091132161606939
1708,Luke Musgrave,TE,2023,75.2,0.0,0,0.0,0.0,0,34,46,352.0,1,0.1233243967828418,0.1060092449922958,0.2697939911680994,0.0939183264436928
1709,Luke Musgrave,TE,2024,11.5,0.0,0,0.0,0.0,0,7,10,45.0,0,0.0483091787439613,0.0355220667384284,0.1008814215066847,0.0142495250158328
1710,Jayden Reed,WR,2023,217.2,0.0,0,0.0,119.0,2,64,94,793.0,8,0.1699819168173598,0.2084228620541469,0.4217111648693574,0.2326818675352877
1711,Jayden Reed,WR,2024,197.0,0.0,0,0.0,163.0,1,55,75,857.0,6,0.1565762004175365,0.1624074516360162,0.3647902619351178,0.2159268124614659
1712,Bryce Young,QB,2023,156.38,2877.0,11,10.0,253.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1713,Bryce Young,QB,2024,195.02,2403.0,15,9.0,249.0,6,0,0,0.0,0,0.0,0.0,0.0,0.0
1714,Will Levis,QB,2023,102.02,1808.0,8,4.0,57.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
1715,Will Levis,QB,2024,119.94,2091.0,13,12.0,183.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
